WKT,gid,access,addr:housename,addr:housenumber,amenity,brand,building,covered,disused,ele,highway,historic,layer,leisure,name,office,operator,power,ref,shop,sport,tourism
"POINT (-7.20446449899713 37.2541064955464)","4533898452",,,"9",cafe,,,,,,,,,,Café-Bar Fuente Nueva,,,,,,,
"POINT (-7.20010359899774 37.2497895955467)","6781288290",,,,cafe,,,,,,,,,,Lolo,,,,,,,
"POINT (-7.19847269899796 37.2516699955466)","3650183990",,,,cafe,,,,,,,,,,Café Sur,,,,,,,
"POINT (-7.05115709901847 37.2110786955498)","6969623085",,,,cafe,,,,,,,,,,Metropol,,,,,,,
"POINT (-7.05102109901849 37.2122626955497)","5331967022",,,,cafe,,,,,,,,,,Heladeria la Fontana,,,,,,,
"POINT (-7.44684549896339 37.3973469955349)","2163823796",,,,cafe,,,,,,,,,,Bar do Rio,,,,,,,
"POINT (-7.52335829895274 37.5556252955224)","6971963486",,,,cafe,,,,,,,,,,Restaurante A Maria,,,,,,,
"POINT (-7.155081799004 37.283209795544)","6980251185",,,"11",cafe,,,,,,,,,,Círculo de la Juventud,,,,,,,
"POINT (-7.14926439900481 37.2817861955442)","942040882",,,,cafe,,,,,,,,,,Cafetería Román,,,,,,,
"POINT (-7.14838019900494 37.2815022955442)","942040890",,,,cafe,,,,,,,,,,Sabore's,,,,,,,
"POINT (-7.1486557990049 37.2815895955442)","942040889",,,,cafe,,,,,,,,,,Cafetería Atlántico,,,,,,,
"POINT (-7.14896419900486 37.2826501955441)","942040884",,,,cafe,,,,,,,,,,Cafetería Avenida,,,,,,,
"POINT (-7.14701409900513 37.283776295544)","942753196",,,,cafe,,,,,,,,,,Cafe Pub Amanecer,,,,,,,
"POINT (-6.38535519911115 36.6310711955969)","4815199525",,,"148",cafe,,,,,,,,,,Pan & Coffee,,,,,,,
"POINT (-6.38665589911097 36.6346454955966)","3160919209",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.38147469911169 36.629197295597)","2054559084",,,,cafe,,,,,,,,,,Tetería,,,,,,,
"POINT (-6.3806618991118 36.6341629955966)","2054559209",,,,cafe,,,,,,,,,,Liberto's Café,,,,,,,
"POINT (-6.36981659911331 36.6228575955975)","3741080214",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.36741109911365 36.6212532955977)","3148940795",,,,cafe,,,,,,,,,,El Hornito,,,,,,,
"POINT (-6.36283909911429 36.6195892955978)","3148929133",,,,cafe,,,,,,,,,,Badulaque,,,,,,,
"POINT (-6.36247699911434 36.6199799955978)","4237983791",,,,cafe,,,,,,,,,,La Ibense,,,,,,,
"POINT (-6.36194989911441 36.6201505955978)","3148928926",,,,cafe,,,,,,,,,,La Irlandesa,,,,,,,
"POINT (-6.36621439911382 36.6218344955976)","3741087146",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.36222459911437 36.6202710955978)","3741080223",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.36196219911441 36.6203642955978)","3148928925",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.36181899911443 36.6205422955978)","3741080220",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.36162589911445 36.6204492955977)","3741080222",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.36110819911453 36.6203372955977)","3148928927",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.36176349911444 36.6206294955977)","3741080221",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.36145719911448 36.6210324955977)","3148928921",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.36253299911433 36.6227507955976)","3148928920",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.36884119911345 36.6264213955973)","4815202824",,,"38",cafe,,,,,,,,,,San Antonio,,,,,bakery,,
"POINT (-6.36326139911423 36.6245267955974)","3148928904",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.36074399911458 36.6200743955978)","3148929129",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.35824939911492 36.6185870955979)","3741080229",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.35740379911504 36.6191782955979)","3741080237",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.35680999911513 36.6212068955977)","3741080238",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.36599869911385 36.6311401955968)","3757062778",,,,cafe,,,,,,,,,,Edu's,,,,,,,
"POINT (-6.43966219910359 36.7241227955892)","2011443953",,,,cafe,,,,,,,,,,Chiringuito,,,,,,,
"POINT (-6.43765599910387 36.7313772955887)","4565444637",,,,cafe,,,,,,,,,,Heladería Manolín,,,,,,,
"POINT (-6.35392119911553 36.776310895585)","3571254993",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.35378559911555 36.7788283955848)","3543848842",,,,cafe,,,,,,,,,,Bornay,,,,,,,
"POINT (-6.35550249911531 36.7806940955846)","6881408485",,,,cafe,,,,,,,,,,Café Bar La Jaula,,,,,,,
"POINT (-6.35847859911489 36.7853394955843)","6708322646",,,,cafe,,,,,,,,,,Malandar,,,,,,,
"POINT (-6.34387359911693 36.7852432955842)","909543057",,,,cafe,,,,,,,,,,Bar el canal 1,,,,,,,
"POINT (-6.34195469911719 36.7873498955841)","909545086",,,,cafe,,,,,,,,,,cafeteria orcha valle,,,,,,,
