	PROD:Oil Rate (H), sm3/day	INJECTOR:Water Injection Rate (H), sm3/day	PROD:Liquid Rate (H), sm3/day	PROD:Oil Total (H), sm3	PROD:Liquid Total (H), sm3	PROD:Water Rate (H), sm3/day	PROD:Gas Rate (H), sm3/day	PROD:Bottom Hole Pressure (H), Bars
27/05/2018	0	0	1.63	0	26.955	1.63	0	620.0441379
28/05/2018	0	0	1.55	0	28.505	1.55	0	620.0441379
29/05/2018	0	0	1.4675	0	29.9725	1.4675	0	613.0427586
30/05/2018	0	0	1.4625	0	31.435	1.4625	0	613.1222069
03/06/2018	0	0	1.565	0	37.695	1.565	0	613.1222069
04/06/2018	0	0	1.5825	0	39.2775	1.5825	0	612.5164138
05/06/2018	0	0	1.4825	0	40.76	1.4825	0	611.8907586
06/06/2018	0.009259259	0	1.444259259	0.009259259	42.20425926	1.435	0	599.318069
07/06/2018	0.011111111	0	1.436111111	0.02037037	43.64037037	1.425	0	595.5641379
08/06/2018	0.027777778	0	1.342777778	0.048148148	44.98314815	1.315	0	592.8728276
10/06/2018	0.037037037	0	1.334537037	0.122222222	47.65222222	1.2975	0	590.4397241
11/06/2018	0.046296296	0	1.351296296	0.168518518	49.00351852	1.305	0	588.5627586
12/06/2018	0.084074074	0	1.391574074	0.252592592	50.39509259	1.3075	0	577.449931
13/06/2018	0.121759259	0	1.434259259	0.374351851	51.82935185	1.3125	13.5725	565.2943448
14/06/2018	0.157777778	0	1.562777778	0.532129629	53.39212963	1.405	9.8275	568.1842759
15/06/2018	0.18860872	0	1.63360872	0.720738349	55.02573835	1.445	15.7025	565.9696552
16/06/2018	0.25	0	1.6225	0.970738349	56.64823835	1.3725	22.2425	558.6902069
17/06/2018	0.266666667	0	1.856666667	1.237405016	58.50490502	1.59	32.9475	562.176
18/06/2018	0.276944444	0	1.869444444	1.51434946	60.37434946	1.5925	36.805	561.1332414
19/06/2018	0.313981481	0	1.826481481	1.828330941	62.20083094	1.5125	40.5125	558.2830345
20/06/2018	0.378518519	0	1.846018519	2.20684946	64.04684946	1.4675	44.21	553.9431724
21/06/2018	0.377037037	0	1.827037037	2.583886497	65.8738865	1.45	47.89	553.0791724
22/06/2018	0.387685185	0	1.805185185	2.971571682	67.67907168	1.4175	49.5875	551.4802759
23/06/2018	0.40287037	0	1.79037037	3.374442052	69.46944205	1.3875	50.83	549.7026207
24/06/2018	0.424440022	0	1.794440022	3.798882074	71.26388207	1.37	54.7925	547.4582069
25/06/2018	0.451944444	0	1.774444444	4.250826518	73.03832652	1.3225	56.01	544.1809655
26/06/2018	0.473425926	0	1.750925926	4.724252444	74.78925244	1.2775	57.5	541.7776552
27/06/2018	0.478333333	0	1.725833333	5.202585777	76.51508578	1.2475	59.1125	540.0198621
28/06/2018	0.486574074	0	1.706574074	5.689159851	78.22165985	1.22	60.8225	538.1726897
29/06/2018	0.4875	0	1.67	6.176659851	79.89165985	1.1825	62.11	536.3056552
30/06/2018	0.505648148	0	1.665648148	6.682307999	81.557308	1.16	63.4725	533.7633103
01/07/2018	0.511481481	0	1.661481481	7.19378948	83.21878948	1.15	64.93	532.1644138
02/07/2018	0.529438248	0	1.636938248	7.723227728	84.85572773	1.1075	65.375	529.5028966
03/07/2018	0.544814815	0	1.644814815	8.268042543	86.50054254	1.1	66.8675	527.2783448
04/07/2018	0.567314815	0	1.739814815	8.835357358	88.24035736	1.1725	73.31	526.3746207
05/07/2018	0.67212963	0	1.88212963	9.507486988	90.12248699	1.21	88.125	520.6543448
06/07/2018	0.693981481	0	1.908981481	10.20146847	92.03146847	1.215	90.7575	517.5062069
07/07/2018	0.703055556	0	1.918055556	10.90452403	93.94952403	1.215	92.95	514.6361379
08/07/2018	0.701759259	0	1.911759259	11.60628328	95.86128328	1.21	93.8175	512.7790345
09/07/2018	0.727962963	0	1.967962963	12.33424625	97.82924625	1.24	94.93	509.5315862
10/07/2018	0.75287037	0	1.96037037	13.08711662	99.78961662	1.2075	96.3575	504.6455172
11/07/2018	0.756842775	0	1.891842775	13.84395939	101.6814594	1.135	97.1475	501.6463448
12/07/2018	0.774074074	0	1.864074074	14.61803347	103.5455335	1.09	98.255	497.942069
13/07/2018	0.786296296	0	1.831296296	15.40432976	105.3768298	1.045	99.3575	494.0590345
14/07/2018	0.788518519	0	1.796018519	16.19284828	107.1728483	1.0075	100.4175	490.7917241
15/07/2018	0.812592593	0	1.822592593	17.00544087	108.9954409	1.01	102.03	487.2761379
16/07/2018	0.800092593	0	1.777592593	17.80553347	110.7730335	0.9775	101.6625	484.6344828
17/07/2018	0.800560736	0	1.793060736	18.6060942	112.5660942	0.9925	117.04	483.5122759
18/07/2018	0.815555556	0	1.805555556	19.42164976	114.3716498	0.99	150.9275	469.3108966
19/07/2018	0.841505376	0	1.826505376	20.26315513	116.1981551	0.985	161.725	476.9776552
20/07/2018	0.85	0	1.8125	21.11315514	118.0106551	0.9625	136.035	474.921931
21/07/2018	0.892227797	0	1.844727797	22.00538293	119.8553829	0.9525	172.11	470.6813793
22/07/2018	0.891442948	0	1.826442948	22.89682588	121.6818259	0.935	175.1325	466.5401379
23/07/2018	0.890510948	0	1.805510948	23.78733683	123.4873368	0.915	177.1025	464.9809655
24/07/2018	0.889436519	0	1.786936519	24.67677335	125.2742733	0.8975	172.825	462.7762759
25/07/2018	0.888223361	0	1.768223361	25.56499671	127.0424967	0.88	169.3775	446.0822069
26/07/2018	0.886876526	0	1.749376526	26.45187323	128.7918732	0.8625	174.4875	456.2813793
27/07/2018	0.885399555	0	1.730399555	27.33727279	130.5222728	0.845	170.575	452.7062069
28/07/2018	0.883796628	0	1.711296628	28.22106942	132.2335694	0.8275	170.59	450.7398621
29/07/2018	0.882071609	0	1.692071609	29.10314103	133.925641	0.81	168.5925	447.4725517
30/07/2018	0.880229281	0	1.675229281	29.98337031	135.6008703	0.795	168.4375	448.1776552
31/07/2018	0.87827186	0	1.65827186	30.86164217	137.2591422	0.78	167.8125	440.7393103
01/08/2018	0.876204995	0	1.638704995	31.73784716	138.8978472	0.7625	170.8	437.462069
02/08/2018	0.874031246	0	1.621531246	32.61187841	140.5193784	0.7475	164.0075	430.9969655
03/08/2018	0.871754616	0	1.604254616	33.48363302	142.123633	0.7325	169.4875	431.0764138
04/08/2018	0.869379047	0	1.586879047	34.35301207	143.7105121	0.7175	168.1125	428.5142069
05/08/2018	0.86690737	0	1.57190737	35.21991944	145.2824194	0.705	167.2425	425.6242759
06/08/2018	0.864343651	0	1.554343651	36.08426309	146.8367631	0.69	165.885	422.5257931
07/08/2018	0.861690569	0	1.539190569	36.94595366	148.3759537	0.6775	163.4225	420.777931
08/08/2018	0.85895233	0	1.52145233	37.80490599	149.897406	0.6625	163.06	417.302069
09/08/2018	0.856131741	0	1.506131741	38.66103773	151.4035377	0.65	161.465	414.9484138
10/08/2018	0.853232621	0	1.490732621	39.51427035	152.8942704	0.6375	161.72	417.8085517
11/08/2018	0.850256816	0	1.475256816	40.36452717	154.3695272	0.625	168.125	418.6626207
12/08/2018	0.847208563	0	1.459708563	41.21173573	155.8292357	0.6125	158.84	410.6681379
13/08/2018	0.844090391	0	1.444090391	42.05582612	157.2733261	0.6	155.365	405.2457931
14/08/2018	0.840905316	0	1.428405316	42.89673144	158.7017314	0.5875	154.6375	401.3627586
16/08/2018	0.837656854	0	1.412656854	44.57204515	161.5270451	0.575	155.345	400.8066207
17/08/2018	0.825626026	0	1.383126026	45.39767117	162.9101712	0.5575	155.9675	402.7630345
18/08/2018	0.822307128	0	1.369807128	46.2199783	164.2799783	0.5475	171.6025	402.038069
19/08/2018	0.81893378	0	1.35393378	47.03891208	165.6339121	0.535	164.78	390.9947586
20/08/2018	0.815508655	0	1.340508655	47.85442074	166.9744207	0.525	184.65	389.7831724
21/08/2018	0.812033201	0	1.327033201	48.66645394	168.3014539	0.515	175.24	387.4195862
22/08/2018	0.808511715	0	1.313511715	49.47496565	169.6149657	0.505	167.2	383.7351724
23/08/2018	0.80494582	0	1.29994582	50.27991147	170.9149115	0.495	173.13	381.4113103
28/08/2018	0.801337061	0	1.286337061	54.28659678	177.3465968	0.485	169.445	381.7787586
31/08/2018	0.765508743	0	1.220508743	56.58312301	181.008123	0.455	158.3325	380.2195862
06/09/2018	0.746664482	0	1.184164482	61.0631099	188.1131099	0.4375	156.4825	377.846069
09/09/2018	0.706784668	0	1.114284668	63.1834639	191.4559639	0.4075	149.075	369.4444138
13/09/2018	0.68980659	0	1.08230659	65.94269026	195.7851903	0.3925	131.0175	364.4987586
16/09/2018	0.666829127	0	1.041829127	67.94317764	198.9106776	0.375	129.63	364.4987586
17/09/2018	0.651175844	0	1.011175844	68.59435349	199.9218535	0.36	129.63	344.736
20/09/2018	0.648343483	0	1.000843483	70.53938394	202.9243839	0.3525	125	337.0195862
23/09/2018	0.633312488	0	0.973312488	72.4393214	205.8443214	0.34	118.5175	334.7553103
28/09/2018	0.618809178	0	0.946309178	75.53336729	210.5758673	0.3275	118.5175	333.782069
29/09/2018	0.593821277	0	0.903821277	76.12718857	211.4796886	0.31	112.9625	330.4750345
30/09/2018	0.591352525	0	0.893852525	76.71854109	212.3735411	0.3025	112.9625	327.5354483
01/10/2018	0.588876211	0	0.886376211	77.3074173	213.2599173	0.2975	112.9625	322.2124138
05/10/2018	0.586392423	0	0.878892423	79.652987	216.775487	0.2925	115.74	324.3773793
11/10/2018	0.55	0	0.85	82.952987	221.875487	0.3	115.74	320.7724138
19/10/2018	0.542387293	0	0.804887293	87.29208534	228.3145853	0.2625	113.055	322.7685517
20/10/2018	0.510089166	0	0.755089166	87.80217451	229.0696745	0.245	112.13	319.2827586
24/10/2018	0.508310334	0	0.748310334	89.83541584	232.0629158	0.24	111	310.9208276
27/10/2018	0.494811353	0	0.724811353	91.3198499	234.2373499	0.23	108.8525	309.6397241
03/11/2018	0.485736478	0	0.708236478	94.72000525	239.1950052	0.2225	106.8525	309.6397241
04/11/2018	0.463502921	0	0.673502921	95.18350817	239.8685082	0.21	82.11	298.7851034
05/11/2018	0.462187304	0	0.667187304	95.64569547	240.5356955	0.205	81.2975	297.9707586
16/11/2018	0.4608728	0	0.6633728	100.7152963	247.8327963	0.2025	81.4075	293.4223448
18/11/2018	0.430385924	0	0.617885924	101.5760681	249.0685681	0.1875	75.11	293.4223448
19/11/2018	0.426815088	0	0.609315088	102.0028832	249.6778832	0.1825	79.305	292.2902069
02/12/2018	0.4075	0	0.5875	107.3003832	257.3153832	0.18	79.2775	284.841931
18/12/2018	0.3875	0	0.5625	113.5003832	266.3153832	0.175	75	280
29/12/2018	0.368528912	0	0.523528912	117.5542012	272.0742012	0.155	72.4075	277.046069
30/12/2018	0.354062814	0	0.499062814	117.9082641	272.5732641	0.145	76.88	278.774069
07/01/2019	0.354077656	0	0.499077656	120.7408853	276.5658853	0.145	77.2025	278.208
08/01/2019	0.34556292	0	0.48556292	121.0864482	277.0514482	0.14	57.065	271.3357241
18/01/2019	0.345662141	0	0.483162141	124.5430696	281.8830696	0.1375	56.7875	269.7368276
24/01/2019	0.336206274	0	0.468706274	126.5603073	284.6953073	0.1325	58.7025	261.6331034
06/02/2019	0.331579373	0	0.459079373	130.8708391	290.6633391	0.1275	58.625	258.0082759
